player,matches_played,wins,cb_opportunities,cb_successes,avg_rank,best_rank,win_rate,comeback_rate,ace_rate,df_rate,first_serve_in,first_serve_won,second_serve_won,srv_pts_won,bp_save_rate,ret_pts_won,bp_conv_rate,clutch_index,serve_style_score
Adrian Mannarino,677,312,381,74,54.80354505169867,17.0,0.4608567208271787,0.1942257217847769,0.06133818429878915,0.031663919049513954,0.6035662175733804,0.6956235087278664,0.5121648104775106,0.622894283061414,0.5952832175194778,0.36496641996917867,0.41202414113277624,0.2385184933112327,0.31916985483876525
Adrian Voinea,115,47,74,13,88.11304347826086,57.0,0.40869565217391307,0.17567567567567569,0.07398790134946487,0.0460679385760819,0.555025593299209,0.7021588765457976,0.4833986928104575,0.6048161935784085,0.5476190476190477,0.3637327677624602,0.39825581395348836,-0.7934591105243975,0.22856418028461817
Agustin Calleri,375,202,164,29,52.064,16.0,0.5386666666666666,0.17682926829268292,0.09146232325040272,0.04471093610166458,0.5538213710399141,0.7455885204576304,0.5003209242618742,0.636155360658672,0.5994787141615986,0.3848232848232849,0.3996261682242991,0.06896527572883568,0.26448376407723084
Albert Costa,276,146,130,26,33.36231884057971,6.0,0.5289855072463768,0.2,0.05255655692477469,0.023588375942615415,0.6319661578076144,0.680151338766007,0.5213643178410795,0.6217123413647232,0.5996940336562978,0.38159174035835,0.3960348162475822,0.003725956057721122,0.3691104356109486
Albert Montanes,520,243,290,53,66.125,22.0,0.4673076923076923,0.18275862068965518,0.045247353918261186,0.04282660760732405,0.6035899152738791,0.6901612765594334,0.4943155979990905,0.6125260745280833,0.5830610021786492,0.37072347058059485,0.3940542116001166,-0.3023655006510343,0.28343975227959745
Albert Portas,217,87,129,18,73.54838709677419,20.0,0.4009216589861751,0.13953488372093023,0.061768806449657515,0.05110020003637025,0.5483421228102079,0.6963298695556047,0.46329351764863774,0.5910771655452507,0.5693301997649823,0.381961557417447,0.4134742404227213,-0.1522145519389848,0.18503821276535667
Albert Ramos,606,273,340,63,55.83003300330033,17.0,0.4504950495049505,0.18529411764705883,0.041029900332225915,0.030772425249169434,0.6240033222591362,0.6739318514574737,0.5136956041528606,0.6136835548172758,0.6064743448579608,0.3738126978836861,0.4045400238948626,0.27577955117125647,0.3239949518447272
Alberto Martin,388,169,234,41,64.8479381443299,34.0,0.43556701030927836,0.1752136752136752,0.028750653423941452,0.04791775570656909,0.6002439449381425,0.6572224802601022,0.493505361346003,0.5917755706569089,0.5702071686945084,0.3908875409607474,0.4135115070527097,-0.13736095031845852,0.23856404709694512
Alejandro Davidovich Fokina,307,163,136,27,43.700325732899024,14.0,0.5309446254071661,0.19852941176470587,0.03955182516430438,0.028901734104046242,0.6723018449600127,0.6696307637948296,0.5121420804639362,0.6180220128276189,0.6041576440017323,0.38819763952790554,0.4233732876712329,0.5987498535405181,0.4388555619528973
Alejandro Falla,272,108,154,22,109.51838235294117,51.0,0.39705882352941174,0.14285714285714285,0.04158685351345902,0.03352152434721242,0.5935074100211715,0.6671479531170376,0.4930555555555556,0.5963806835366469,0.5740648379052369,0.37058553737960553,0.4029940119760479,-0.27638336112458517,0.25063446497889297
